REF_DATE,cpi_trim_mom,cpi_trim_mom_saar,cpi_trim_mm3_mom,cpi_trim_mm3_saar,cpi_trim_yoy,cpi_trim_mom_pct,cpi_trim_mom_saar_pct,cpi_trim_mm3_saar_pct,cpi_trim_yoy_pct
1967-05-01,0.005027236906902388,0.06202313879448362,0.009892609441633334,0.12538812366816243,0.08746799111139225,0.5027236906902388,6.202313879448362,12.538812366816243,8.746799111139225
1967-06-01,0.006303150145487495,0.07831584423275562,0.009387975869249521,0.1186584919529372,0.08970038252901613,0.6303150145487495,7.831584423275562,11.86584919529372,8.970038252901613
1967-07-01,0.004978992294466236,0.06141153304834224,0.005436459782285374,0.0672239383430957,0.08760229286253551,0.49789922944662357,6.141153304834224,6.72239383430957,8.760229286253551
1967-08-01,0.0076786669317431095,0.09613683726964517,0.0063202697905656155,0.07853600188926513,0.09096240644724518,0.767866693174311,9.613683726964517,7.853600188926513,9.096240644724517
1967-09-01,0.00629175502830203,0.07816932651398978,0.00631647141817046,0.07848715148104901,0.09224418854318595,0.6291755028302031,7.816932651398978,7.848715148104901,9.224418854318595
1967-10-01,0.005723144576095502,0.07088130097898881,0.006564522178713548,0.08168156450438202,0.08931104086746844,0.5723144576095502,7.0881300978988815,8.168156450438202,8.931104086746844
1967-11-01,0.00615591334054425,0.07642408734000394,0.006056937648313929,0.07515411880157519,0.08779906866429354,0.615591334054425,7.642408734000394,7.515411880157519,8.779906866429354
1967-12-01,0.009044672109641494,0.11410140864195073,0.006974576675427083,0.08698129690520795,0.09083555713575509,0.9044672109641494,11.410140864195073,8.698129690520794,9.083555713575509
1968-01-01,0.017179803926446316,0.22679710999178293,0.010793463125544023,0.13749395070304815,0.10354150307897081,1.7179803926446315,22.679710999178294,13.749395070304814,10.354150307897081
1968-02-01,0.006638144865284561,0.08263134978202391,0.010954206967124125,0.13966656259079913,0.10424750088116297,0.6638144865284561,8.263134978202391,13.966656259079912,10.424750088116298
1968-03-01,0.007789193482666472,0.09758045624958744,0.010535714091465783,0.13401814121843114,0.10421697803756791,0.7789193482666472,9.758045624958744,13.401814121843113,10.421697803756791
1968-04-01,0.005304607355068146,0.06554568668526017,0.0065773152343397276,0.08184654921598034,0.09169728501930985,0.5304607355068146,6.554568668526017,8.184654921598034,9.169728501930985
1968-05-01,0.006577636609830795,0.081850694108631,0.006557145815855138,0.08158644626060485,0.09338138579213151,0.6577636609830795,8.1850694108631,8.158644626060486,9.338138579213151
1968-06-01,0.007199457877304619,0.08989786063015437,0.006360567280734521,0.07905438795978847,0.09435525354735907,0.7199457877304619,8.989786063015437,7.9054387959788475,9.435525354735908
